mae,rmse,r2,model_name,display_name,train_seconds
9062467079.580484,28826503003.44539,0.9906854833635221,linear_regression,Linear Regression,0.06779217720031738
12389911888.345797,69133887503.25458,0.9464254713362328,random_forest,Random Forest,30.961692094802856
15804809845.82998,77971038141.74329,0.9318535816580489,decision_tree,Decision Tree,43.40977191925049
14604743809.99312,90343145857.10509,0.9085114341031216,xgboost,XGBoost,35.07272982597351
27894550755.886738,90991339865.28452,0.9071939001411651,mlp,PyTorch MLP,5.5400660037994385
