year,imports_usd,gdp_usd,gdp_per_capita_usd,population,inflation_pct,fdi_inflows_usd,manufacturing_share_pct,trade_share_pct,lag_1_exports_usd,lag_1_imports_usd,lag_1_export_growth_pct,region,income_level
2012,396000000.0,640000000.0,11745.4899153958,54489.0,,,,176.40625,300000000.0,345000000.0,-6.25,East Asia & Pacific,High income
2008,16754000000.0,29118916105.4726,5912.04532820842,4925354.0,,4333045470.38383,8.30324757544111,106.625673176194,3574000000.0,12251000000.0,27.00781805259418,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
2010,58468000000.0,208368893151.144,2162.91375885614,96337125.0,3.78983634797591,1070386939.91896,21.9192017163827,66.1042785137797,38436000000.0,45878000000.0,-21.68385019764456,East Asia & Pacific,Lower middle income
2004,642000000.0,1226829562.5,4070.2609459446,301413.0,-1.68541212459466,52933701.7280929,4.88176696893689,,152000000.0,471000000.0,15.15151515151516,South Asia,Upper middle income
2015,17640000000.0,62186066547.6566,3893.50533299068,15971743.0,2.3887203283955,1203355080.0,14.3263282737266,49.8934517710689,10803000000.0,18282000000.0,7.7605985037406455,Latin America & Caribbean ,Upper middle income
2013,45190000000.0,115739287305.08,3379.7431640625,33787571.0,1.88065466724086,3360909924.36421,14.5581548719729,73.8577565315318,21446000000.0,44872000000.0,-0.9605615590652983,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
2002,178000000.0,927000000.0,299.536445539621,3094782.0,14.1596470116325,2800000.0,1.87307443365696,,128000000.0,229000000.0,-61.09422492401215,Sub-Saharan Africa ,Low income
2012,10891000000.0,31963404255.3191,26438.6733230428,1208964.0,2.75739669962979,1544680851.06382,14.7645578720345,178.824020821684,19650000000.0,12730000000.0,31.253757264043823,"Middle East, North Africa, Afghanistan & Pakistan",High income
2009,9691000000.0,51621044076.9231,1178.22180175781,34569113.0,11.256758706301,1726298402.95145,5.13451130938813,32.7808783344833,11671000000.0,9352000000.0,31.44498254307917,Sub-Saharan Africa ,Low income
2015,7060000000.0,12756696261.0676,2074.45620634731,6149417.0,3.99737996694396,967000000.0,14.1979344513185,98.194164594236,5126000000.0,6946000000.0,6.925323320817678,Latin America & Caribbean ,Lower middle income
2014,237352000000.0,1474677007565.64,62817.2061751737,23475686.0,2.48792270531404,63204516347.8725,6.23700054223419,42.2993095385282,252981000000.0,242140000000.0,-1.4391740527904928,East Asia & Pacific,High income
2014,9707000000.0,27141023558.0829,1707.48573136694,15895315.0,7.80687553566333,1507800000.0,6.81998335857482,76.1934997276313,10607000000.0,10586000000.0,13.262146289375343,Sub-Saharan Africa ,Lower middle income
2015,7723000000.0,19134221644.7325,565.569730408751,33831764.0,-0.661709164713742,169146608.0,11.4200060049012,,570000000.0,7729000000.0,10.679611650485432,"Middle East, North Africa, Afghanistan & Pakistan",Low income
2009,293218000000.0,1496587590847.66,32279.8208476151,46362946.0,-0.28781308353524,7562359636.56542,11.3278781722104,46.8366899971109,281493000000.0,420803000000.0,11.131596505288254,Europe & Central Asia,High income
